date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:16	140/140	---M--	200	added ('OK')	text/plain	etag:%2283c2e0e36b59ca1:4f5%22	http://sqlsets.com/robots.txt		(from )
19:28:17	18105/18105	---M--	200	added ('OK')	text/html	etag:%22c3b78715daa4ca1:4f5%22	http://sqlsets.com/	/Users/mikeymo/websites/sqlsets/sqlsets.com/index.html	(from )
19:28:18	9473/9473	---M--	200	added ('OK')	text/css	etag:%227582c02d6859ca1:4f5%22	http://sqlsets.com/default.css	/Users/mikeymo/websites/sqlsets/sqlsets.com/default.css	(from )
19:28:18	11391/11391	---M--	200	added ('OK')	text/html	etag:%22658fa6226859ca1:4f5%22	http://sqlsets.com/uses.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/uses.html	(from )
19:28:18	10182/10182	---M--	200	added ('OK')	text/html	etag:%22fb7a2316859ca1:4f5%22	http://sqlsets.com/features.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/features.html	(from )
19:28:19	7361/7361	---M--	200	added ('OK')	text/html	etag:%223f775e306859ca1:4f5%22	http://sqlsets.com/download.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/download.html	(from )
19:28:19	14236/14236	---M--	200	added ('OK')	text/html	etag:%22cb578336859ca1:4f5%22	http://sqlsets.com/buy.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/buy.html	(from )
19:28:19	6173/6173	---M--	200	added ('OK')	text/html	etag:%221981dc236859ca1:4f5%22	http://sqlsets.com/support.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/support.html	(from )
19:28:20	6506/6506	---M--	200	added ('OK')	text/html	etag:%229ddac1146959ca1:4f5%22	http://sqlsets.com/about.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/about.html	(from )
19:28:20	7055/7055	---M--	200	added ('OK')	text/html	etag:%22a5427c2c6859ca1:4f5%22	http://sqlsets.com/demos.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/demos.html	(from )
19:28:21	9983/9983	---M--	200	added ('OK')	text/html	etag:%22d3609a356859ca1:4f5%22	http://sqlsets.com/screenshots.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/screenshots.html	(from )
19:28:21	6350/6350	---M--	200	added ('OK')	text/html	etag:%2289c73c2b6859ca1:4f5%22	http://sqlsets.com/CompareDataSets.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/CompareDataSets.html	(from )
19:28:21	7103/7103	---M--	200	added ('OK')	text/html	etag:%22ef4159196959ca1:4f5%22	http://sqlsets.com/HierarchicalQueries.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/HierarchicalQueries.html	(from )
19:28:22	18105/18105	---M--	200	added ('OK')	text/html	etag:%22c3b78715daa4ca1:4f5%22	http://sqlsets.com/home.html	/Users/mikeymo/websites/sqlsets/sqlsets.com/home.html	(from )
